artist,song,year,popularity,genre
Tinie Tempah,Pass Out,2010,53,"hip hop, pop, Dance/Electronic"
Calvin Harris,I'm Not Alone - Radio Edit,2009,55,"hip hop, pop, Dance/Electronic"
Calvin Harris,Acceptable in the 80's,2007,57,"hip hop, pop, Dance/Electronic"
Tinie Tempah,Written in the Stars (feat. Eric Turner),2010,57,"hip hop, pop, Dance/Electronic"
Jax Jones,Breathe,2017,58,"hip hop, pop, Dance/Electronic"
Jax Jones,Breathe,2017,58,"hip hop, pop, Dance/Electronic"
David Guetta,Flames,2018,59,"hip hop, pop, Dance/Electronic"
Dizzee Rascal,Holiday,2011,60,"hip hop, pop, Dance/Electronic"
Jax Jones,All Day And Night,2019,60,"hip hop, pop, Dance/Electronic"
Calvin Harris,Drinking from the Bottle (feat. Tinie Tempah),2012,61,"hip hop, pop, Dance/Electronic"
Calvin Harris,Bounce (feat. Kelis) - Radio Edit,2012,62,"hip hop, pop, Dance/Electronic"
Calvin Harris,We'll Be Coming Back (feat. Example),2012,62,"hip hop, pop, Dance/Electronic"
David Guetta,Gettin' Over You (feat. Fergie & LMFAO),2010,62,"hip hop, pop, Dance/Electronic"
Tinie Tempah,Girls Like (feat. Zara Larsson),2016,62,"hip hop, pop, Dance/Electronic"
Cascada,Evacuate The Dancefloor,2009,63,"hip hop, pop, Dance/Electronic"
Rita Ora,Anywhere,2017,63,"hip hop, pop, Dance/Electronic"
Steve Aoki,Just Hold On,2016,63,"hip hop, pop, Dance/Electronic"
Zedd,Stay The Night - Featuring Hayley Williams Of Paramore,2014,63,"hip hop, pop, Dance/Electronic"
Calvin Harris,Thinking About You (feat. Ayah Marar),2012,65,"hip hop, pop, Dance/Electronic"
David Guetta,Turn Me On (feat. Nicki Minaj),2012,65,"hip hop, pop, Dance/Electronic"
Rita Ora,I Will Never Let You Down,2014,65,"hip hop, pop, Dance/Electronic"
Calvin Harris,Let's Go (feat. Ne-Yo),2012,66,"hip hop, pop, Dance/Electronic"
David Guetta,She Wolf (Falling to Pieces) [feat. Sia],2012,66,"hip hop, pop, Dance/Electronic"
David Guetta,2U (feat. Justin Bieber),2017,67,"hip hop, pop, Dance/Electronic"
LMFAO,Sexy And I Know It,2011,67,"hip hop, pop, Dance/Electronic"
LMFAO,Sexy And I Know It,2011,67,"hip hop, pop, Dance/Electronic"
David Guetta,This One's for You (feat. Zara Larsson) (Official Song UEFA EURO 2016),2016,68,"hip hop, pop, Dance/Electronic"
Dizzee Rascal,Dance Wiv Me - Radio Edit,2011,68,"hip hop, pop, Dance/Electronic"
David Guetta,When Love Takes Over (feat. Kelly Rowland),2010,69,"hip hop, pop, Dance/Electronic"
David Guetta,Play Hard (feat. Ne-Yo & Akon),2012,69,"hip hop, pop, Dance/Electronic"
DJ Snake,You Know You Like It,2014,69,"hip hop, pop, Dance/Electronic"
DJ Snake,You Know You Like It,2014,69,"hip hop, pop, Dance/Electronic"
Calvin Harris,I Need Your Love (feat. Ellie Goulding),2012,70,"hip hop, pop, Dance/Electronic"
David Guetta,Without You (feat. Usher),2012,70,"hip hop, pop, Dance/Electronic"
DJ Snake,Turn Down for What,2013,70,"hip hop, pop, Dance/Electronic"
DJ Snake,"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)",2019,70,"hip hop, pop, Dance/Electronic"
Skrillex,Bangarang (feat. Sirah),2011,70,"hip hop, pop, Dance/Electronic"
Calvin Harris,Sweet Nothing (feat. Florence Welch),2012,71,"hip hop, pop, Dance/Electronic"
David Guetta,Who's That Chick? (feat. Rihanna),2010,71,"hip hop, pop, Dance/Electronic"
Calvin Harris,Under Control (feat. Hurts),2014,72,"hip hop, pop, Dance/Electronic"
David Guetta,Where Them Girls At (feat. Nicki Minaj & Flo Rida),2012,72,"hip hop, pop, Dance/Electronic"
Felix Jaehn,Ain't Nobody (Loves Me Better) (feat. Jasmine Thompson),2018,72,"hip hop, pop, Dance/Electronic"
Calvin Harris,Giant (with Rag'n'Bone Man),2019,73,"hip hop, pop, Dance/Electronic"
LMFAO,Party Rock Anthem,2011,73,"hip hop, pop, Dance/Electronic"
Major Lazer,Lean On (feat. MØ & DJ Snake),2015,73,"hip hop, pop, Dance/Electronic"
Calvin Harris,My Way,2016,74,"hip hop, pop, Dance/Electronic"
Calvin Harris,Blame (feat. John Newman),2014,75,"hip hop, pop, Dance/Electronic"
David Guetta,Sexy Bitch (feat. Akon),2010,75,"hip hop, pop, Dance/Electronic"
David Guetta,"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack)",2014,75,"hip hop, pop, Dance/Electronic"
Mike Posner,Cooler Than Me - Single Mix,2010,75,"hip hop, pop, Dance/Electronic"
Calvin Harris,How Deep Is Your Love,2015,76,"hip hop, pop, Dance/Electronic"
David Guetta,Memories (feat. Kid Cudi),2010,76,"hip hop, pop, Dance/Electronic"
DJ Snake,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",2018,76,"hip hop, pop, Dance/Electronic"
Mike Posner,I Took A Pill In Ibiza - Seeb Remix,2016,77,"hip hop, pop, Dance/Electronic"
Calvin Harris,Outside (feat. Ellie Goulding),2014,78,"hip hop, pop, Dance/Electronic"
Calvin Harris,Feel So Close - Radio Edit,2012,79,"hip hop, pop, Dance/Electronic"
Calvin Harris,This Is What You Came For (feat. Rihanna),2016,79,"hip hop, pop, Dance/Electronic"
Calvin Harris,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",2017,79,"hip hop, pop, Dance/Electronic"
David Guetta,Titanium (feat. Sia),2012,79,"hip hop, pop, Dance/Electronic"
Zedd,The Middle,2018,80,"hip hop, pop, Dance/Electronic"
Calvin Harris,One Kiss (with Dua Lipa),2018,81,"hip hop, pop, Dance/Electronic"
DJ Snake,Let Me Love You,2016,81,"hip hop, pop, Dance/Electronic"
Bubba Sparxxx,Ms. New Booty,2005,62,"hip hop, pop, country"
G-Eazy,Him & I,2017,0,"hip hop, pop"
G-Eazy,No Limit,2017,0,"hip hop, pop"
Jim Jones,We Fly High,2006,0,"hip hop, pop"
Lil Wayne,How To Love,2011,0,"hip hop, pop"
Nicki Minaj,Super Bass,2010,0,"hip hop, pop"
ScHoolboy Q,Collard Greens,2014,0,"hip hop, pop"
ScHoolboy Q,Man Of The Year,2014,0,"hip hop, pop"
Lil Wayne,6 Foot 7 Foot,2011,1,"hip hop, pop"
Macklemore & Ryan Lewis,Thrift Shop (feat. Wanz),2012,1,"hip hop, pop"
Rich Homie Quan,"Flex (Ooh, Ooh, Ooh)",2015,1,"hip hop, pop"
Will Smith,Switch,2020,34,"hip hop, pop"
Snoop Dogg,Drop It Like It's Hot,2004,39,"hip hop, pop"
Snoop Dogg,Drop It Like It's Hot,2004,39,"hip hop, pop"
Fat Joe,Get It Poppin' (feat. Nelly) - Radio Version,2005,41,"hip hop, pop"
Lil' Flip,Sunshine (feat. Lea),2004,42,"hip hop, pop"
will.i.am,Heartbreaker,2007,46,"hip hop, pop"
Lil Jon & The East Side Boyz,Get Low,2002,47,"hip hop, pop"
Ludacris,Splash Waterfalls,2003,48,"hip hop, pop"
Mann,Buzzin Remix,2011,48,"hip hop, pop"
Unk,Walk It Out,2013,48,"hip hop, pop"
Black Eyed Peas,Hey Mama,2003,49,"hip hop, pop"
Flo Rida,GDFR (feat. Sage the Gemini & Lookas),2015,49,"hip hop, pop"
Jason Derulo,The Other Side,2013,50,"hip hop, pop"
Trillville,Some Cut,2004,50,"hip hop, pop"
DJ Khaled,"All I Do Is Win (feat. T-Pain, Ludacris, Snoop Dogg & Rick Ross)",2010,51,"hip hop, pop"
Ludacris,Runaway Love,2006,51,"hip hop, pop"
Outkast,The Whole World (feat. Killer Mike),2001,51,"hip hop, pop"
David Banner,Play,2005,52,"hip hop, pop"
Huey,"Pop, Lock & Drop It - Video Edit",2006,52,"hip hop, pop"
Black Eyed Peas,Let's Get It Started - Spike Mix,2004,53,"hip hop, pop"
Jason Derulo,Trumpets,2013,53,"hip hop, pop"
Nicki Minaj,Bed Of Lies,2014,53,"hip hop, pop"
Gym Class Heroes,Cookie Jar (feat. The-Dream),2008,54,"hip hop, pop"
Ludacris,Southern Hospitality (Featuring Pharrell),2000,54,"hip hop, pop"
Snoop Dogg,Signs,2004,54,"hip hop, pop"
Youngbloodz,Damn! (feat. Lil' Jon) - Club Mix,2003,54,"hip hop, pop"
Busta Rhymes,Pass The Courvoisier Part II (feat. P. Diddy & Pharrell) - Remix,2001,55,"hip hop, pop"
Diddy,Come to Me (feat. Nicole Scherzinger),2006,55,"hip hop, pop"
Fetty Wap,My Way (feat. Monty),2015,55,"hip hop, pop"
Jeezy,Soul Survivor,2005,55,"hip hop, pop"
Black Eyed Peas,Shut Up,2003,56,"hip hop, pop"
Jason Derulo,Talk Dirty (feat. 2 Chainz),2013,56,"hip hop, pop"
Jason Derulo,Talk Dirty (feat. 2 Chainz),2013,56,"hip hop, pop"
Jibbs,Chain Hang Low,2006,56,"hip hop, pop"
Petey Pablo,Freek-A-Leek,2003,56,"hip hop, pop"
Snoop Dogg,Sensual Seduction,2007,56,"hip hop, pop"
50 Cent,"Wanksta - From ""8 Mile"" Soundtrack",2003,57,"hip hop, pop"
Erick Sermon,Music (feat. Marvin Gaye),2001,57,"hip hop, pop"
Jessie J,Do It Like A Dude,2011,57,"hip hop, pop"
Ludacris,Stand Up,2003,57,"hip hop, pop"
Mystikal,Shake Ya Ass,2000,57,"hip hop, pop"
Rich Boy,Throw Some D's,2007,57,"hip hop, pop"
Ying Yang Twins,Wait (The Whisper Song),2005,57,"hip hop, pop"
Lil Wayne,Got Money,2008,58,"hip hop, pop"
N.O.R.E.,Nothin',2002,58,"hip hop, pop"
Sean Paul,(When You Gonna) Give It Up to Me (feat. Keyshia Cole) - Radio Version,2006,58,"hip hop, pop"
Tyga,Faded,2012,58,"hip hop, pop"
Waka Flocka Flame,No Hands (feat. Roscoe Dash & Wale),2010,58,"hip hop, pop"
Baby Boy Da Prince,The Way I Live - Main Explicit,2006,59,"hip hop, pop"
Cardi B,Bodak Yellow,2017,59,"hip hop, pop"
Disturbing Tha Peace,Move Bitch,2002,59,"hip hop, pop"
Fat Joe,Make It Rain,2006,59,"hip hop, pop"
Gym Class Heroes,Cupid's Chokehold / Breakfast in America - Radio Mix,2007,59,"hip hop, pop"
Houston,I Like That,2004,59,"hip hop, pop"
J-Kwon,Tipsy - Club Mix,2001,59,"hip hop, pop"
Ludacris,Get Back,2004,59,"hip hop, pop"
MiMS,This Is Why I'm Hot,2007,59,"hip hop, pop"
Sean Paul,Gimme the Light,2002,59,"hip hop, pop"
Sean Paul,We Be Burnin',2005,59,"hip hop, pop"
Soulja Boy,Turn My Swag On,2008,59,"hip hop, pop"
Trick Daddy,I'm a Thug,2001,59,"hip hop, pop"
50 Cent,Outta Control - Remix,2005,60,"hip hop, pop"
Dem Franchize Boyz,"Lean Wit It, Rock Wit It",2006,60,"hip hop, pop"
Flo Rida,I Cry,2012,60,"hip hop, pop"
Ludacris,Rollout (My Business),2001,60,"hip hop, pop"
The Game,My Life,2008,60,"hip hop, pop"
Black Eyed Peas,Don't Lie,2005,61,"hip hop, pop"
Black Eyed Peas,Imma Be,2009,61,"hip hop, pop"
Bone Thugs-N-Harmony,I Tried,2007,61,"hip hop, pop"
Busta Rhymes,Touch It,2006,61,"hip hop, pop"
Far East Movement,Rocketeer,2010,61,"hip hop, pop"
G-Unit,Wanna Get To Know You,2003,61,"hip hop, pop"
Gym Class Heroes,Ass Back Home (feat. Neon Hitch),2011,61,"hip hop, pop"
Lloyd Banks,On Fire,2004,61,"hip hop, pop"
O.T. Genasis,CoCo,2014,61,"hip hop, pop"
ScHoolboy Q,Hands on the Wheel (feat. Asap Rocky),2012,61,"hip hop, pop"
Sean Paul,Like Glue,2002,61,"hip hop, pop"
Shop Boyz,Party Like A Rock Star,2007,61,"hip hop, pop"
Taio Cruz,Higher,2010,61,"hip hop, pop"
Tyga,Rack City,2012,61,"hip hop, pop"
Ying Yang Twins,Salt Shaker,2003,61,"hip hop, pop"
Asher Roth,I Love College,2009,62,"hip hop, pop"
Black Eyed Peas,Don't Phunk With My Heart,2005,62,"hip hop, pop"
Ludacris,Money Maker,2006,62,"hip hop, pop"
will.i.am,This Is Love,2013,62,"hip hop, pop"
Wiz Khalifa,"Work Hard, Play Hard",2012,62,"hip hop, pop"
D4L,Laffy Taffy,2005,63,"hip hop, pop"
D4L,Laffy Taffy,2005,63,"hip hop, pop"
Diddy,I Need a Girl (Pt. 1) [feat. Usher & Loon],2005,63,"hip hop, pop"
E-40,U and Dat (feat. T. Pain & Kandi Girl),2006,63,"hip hop, pop"
G-Eazy,Good Life (with G-Eazy & Kehlani),2017,63,"hip hop, pop"
Hilltop Hoods,1955,2016,63,"hip hop, pop"
Jason Derulo,Don't Wanna Go Home,2011,63,"hip hop, pop"
Ludacris,How Low,2010,63,"hip hop, pop"
T.I.,Bring Em Out,2004,63,"hip hop, pop"
Wiz Khalifa,Roll Up,2011,63,"hip hop, pop"
Big Tymers,Still Fly,2002,64,"hip hop, pop"
Jason Derulo,Tip Toe (feat. French Montana),2017,64,"hip hop, pop"
JUVENILE,Slow Motion,2003,64,"hip hop, pop"
Lupe Fiasco,Superstar (feat. Matthew Santos),2007,64,"hip hop, pop"
Migos,T-Shirt,2017,64,"hip hop, pop"
Nicki Minaj,Pound The Alarm,2012,64,"hip hop, pop"
T.I.,What You Know,2006,64,"hip hop, pop"
B.o.B,Magic (feat. Rivers Cuomo),2010,65,"hip hop, pop"
Jason Derulo,In My Head,2010,65,"hip hop, pop"
Cali Swag District,Teach Me How to Dougie,2011,66,"hip hop, pop"
Jason Derulo,Ridin' Solo,2010,66,"hip hop, pop"
Jason Derulo,Wiggle (feat. Snoop Dogg),2013,66,"hip hop, pop"
Kevin Rudolf,Let It Rock,2008,66,"hip hop, pop"
Lil Jon & The East Side Boyz,Lovers And Friends,2004,66,"hip hop, pop"
Nicki Minaj,Anaconda,2014,66,"hip hop, pop"
Outkast,The Way You Move (feat. Sleepy Brown),2003,66,"hip hop, pop"
Outkast,The Way You Move (feat. Sleepy Brown),2003,66,"hip hop, pop"
Rae Sremmurd,Powerglide (feat. Juicy J) - From SR3MM,2018,66,"hip hop, pop"
Yung Joc,It's Goin' Down (feat. Nitti),2006,66,"hip hop, pop"
50 Cent,Ayo Technology,2007,67,"hip hop, pop"
Black Eyed Peas,My Humps,2005,67,"hip hop, pop"
Cam’ron,Oh Boy,2002,67,"hip hop, pop"
Desiigner,Tiimmy Turner,2016,67,"hip hop, pop"
DJ Khaled,No Brainer,2018,67,"hip hop, pop"
Flo Rida,"I Don't Like It, I Love It (feat. Robin Thicke & Verdine White)",2015,67,"hip hop, pop"
Iggy Azalea,Black Widow,2014,67,"hip hop, pop"
Lil Jon,Snap Yo Fingers,2006,67,"hip hop, pop"
Pharrell Williams,Frontin' (feat. Jay-Z) - Club Mix,2003,67,"hip hop, pop"
Snoop Dogg,Beautiful,2005,67,"hip hop, pop"
Yo Gotti,Rake It Up (feat. Nicki Minaj),2017,67,"hip hop, pop"
Bad Meets Evil,Lighters,2011,68,"hip hop, pop"
Black Eyed Peas,Where Is The Love?,2003,68,"hip hop, pop"
Black Eyed Peas,Boom Boom Pow,2009,68,"hip hop, pop"
Busta Rhymes,I Know What You Want (feat. Flipmode Squad),2002,68,"hip hop, pop"
Busta Rhymes,I Know What You Want (feat. Flipmode Squad),2002,68,"hip hop, pop"
Fetty Wap,Trap Queen,2015,68,"hip hop, pop"
Kid Ink,Show Me (feat. Chris Brown),2014,68,"hip hop, pop"
Lil Wayne,Right Above It,2010,68,"hip hop, pop"
Lil Wayne,Love Me,2013,68,"hip hop, pop"
Ludacris,My Chick Bad,2010,68,"hip hop, pop"
Meek Mill,All Eyes on You (feat. Chris Brown & Nicki Minaj),2015,68,"hip hop, pop"
Migos,Slippery (feat. Gucci Mane),2017,68,"hip hop, pop"
Offset,Clout (feat. Cardi B),2019,68,"hip hop, pop"
Sean Paul,I'm Still in Love with You (feat. Sasha),2002,68,"hip hop, pop"
Snoop Dogg,Sweat - Remix,2011,68,"hip hop, pop"
T.I.,Dead And Gone,2008,68,"hip hop, pop"
will.i.am,#thatPOWER,2013,68,"hip hop, pop"
YG,"BIG BANK (feat. 2 Chainz, Big Sean, Nicki Minaj)",2018,68,"hip hop, pop"
2 Chainz,We Own It (Fast & Furious),2013,69,"hip hop, pop"
Ayo & Teo,Rolex,2017,69,"hip hop, pop"
Black Eyed Peas,The Time (Dirty Bit),2010,69,"hip hop, pop"
Diddy,"I Need a Girl (Pt. 2) [feat. Loon, Ginuwine & Mario Winans]",2004,69,"hip hop, pop"
Flipp Dinero,Leave Me Alone,2019,69,"hip hop, pop"
iann dior,gone girl,2019,69,"hip hop, pop"
Iggy Azalea,Fancy,2014,69,"hip hop, pop"
Jeezy,Put On,2008,69,"hip hop, pop"
Kevin Gates,2 Phones,2016,69,"hip hop, pop"
Lil Wayne,Lollipop,2008,69,"hip hop, pop"
Lil Wayne,A Milli,2008,69,"hip hop, pop"
Logic,Everyday,2018,69,"hip hop, pop"
Young Thug,The London (feat. J. Cole & Travis Scott),2019,69,"hip hop, pop"
Desiigner,Panda,2016,70,"hip hop, pop"
DJ Khaled,I'm On One,2011,70,"hip hop, pop"
DMX,X Gon' Give It To Ya,2007,70,"hip hop, pop"
Jason Derulo,Whatcha Say,2010,70,"hip hop, pop"
Jason Derulo,Whatcha Say,2010,70,"hip hop, pop"
Jason Derulo,It Girl,2011,70,"hip hop, pop"
Jon Bellion,All Time Low,2016,70,"hip hop, pop"
Lil Dicky,Freaky Friday (feat. Chris Brown),2018,70,"hip hop, pop"
Lupe Fiasco,The Show Goes On,2011,70,"hip hop, pop"
Madcon,Beggin (original version),2007,70,"hip hop, pop"
Sean Paul,She Doesn't Mind,2012,70,"hip hop, pop"
2 Chainz,It's A Vibe,2017,71,"hip hop, pop"
Big Sean,Bounce Back,2017,71,"hip hop, pop"
Chamillionaire,Ridin',2005,71,"hip hop, pop"
DMX,Party Up,1999,71,"hip hop, pop"
Jay Rock,"King's Dead (with Kendrick Lamar, Future & James Blake)",2018,71,"hip hop, pop"
Lil Nas X,Panini,2019,71,"hip hop, pop"
Machine Gun Kelly,"Home (with Machine Gun Kelly, X Ambassadors & Bebe Rexha)",2017,71,"hip hop, pop"
Rae Sremmurd,No Type,2015,71,"hip hop, pop"
Young Money,BedRock,2009,71,"hip hop, pop"
50 Cent,21 Questions,2003,72,"hip hop, pop"
50 Cent,Disco Inferno,2005,72,"hip hop, pop"
Black Eyed Peas,Meet Me Halfway,2009,72,"hip hop, pop"
Cardi B,Bodak Yellow,2018,72,"hip hop, pop"
DJ Khaled,Wild Thoughts (feat. Rihanna & Bryson Tiller),2017,72,"hip hop, pop"
iann dior,emotions,2019,72,"hip hop, pop"
Migos,Bad and Boujee (feat. Lil Uzi Vert),2017,72,"hip hop, pop"
Migos,MotorSport,2018,72,"hip hop, pop"
Migos,Stir Fry,2018,72,"hip hop, pop"
Rich The Kid,Plug Walk,2018,72,"hip hop, pop"
Travie McCoy,Billionaire (feat. Bruno Mars),2010,72,"hip hop, pop"
BlocBoy JB,Look Alive (feat. Drake),2018,73,"hip hop, pop"
Bobby Shmurda,Hot N*gga,2014,73,"hip hop, pop"
Cardi B,Money,2018,73,"hip hop, pop"
Cardi B,Please Me,2019,73,"hip hop, pop"
Far East Movement,Like A G6,2010,73,"hip hop, pop"
Fat Joe,What's Luv? (feat. Ja-Rule & Ashanti),2001,73,"hip hop, pop"
Jessie J,Price Tag,2011,73,"hip hop, pop"
Tyga,Taste (feat. Offset),2018,73,"hip hop, pop"
A$AP Ferg,Plain Jane,2017,74,"hip hop, pop"
B.o.B,Airplanes (feat. Hayley Williams of Paramore),2010,74,"hip hop, pop"
B.o.B,Nothin' on You (feat. Bruno Mars),2010,74,"hip hop, pop"
Fetty Wap,679 (feat. Remy Boyz),2015,74,"hip hop, pop"
Flo Rida,Right Round,2009,74,"hip hop, pop"
Future,Low Life (feat. The Weeknd),2016,74,"hip hop, pop"
Jessie J,Domino,2011,74,"hip hop, pop"
Macklemore,Glorious (feat. Skylar Grey),2017,74,"hip hop, pop"
Sean Paul,Get Busy,2002,74,"hip hop, pop"
Soulja Boy,Crank That (Soulja Boy),2007,74,"hip hop, pop"
Soulja Boy,Crank That (Soulja Boy),2007,74,"hip hop, pop"
T.I.,Whatever You Like,2008,74,"hip hop, pop"
T.I.,Whatever You Like,2008,74,"hip hop, pop"
Taio Cruz,Break Your Heart,2010,74,"hip hop, pop"
The Game,How We Do,2005,74,"hip hop, pop"
benny blanco,Eastside (with Halsey & Khalid),2018,75,"hip hop, pop"
Big Sean,I Don't Fuck With You,2015,75,"hip hop, pop"
Black Eyed Peas,Pump It,2005,75,"hip hop, pop"
G-Eazy,Him & I (with Halsey),2017,75,"hip hop, pop"
Iyaz,Replay,2009,75,"hip hop, pop"
Jason Derulo,Swalla (feat. Nicki Minaj & Ty Dolla $ign),2017,75,"hip hop, pop"
Lil Wayne,"Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",2016,75,"hip hop, pop"
Migos,Walk It Talk It,2018,75,"hip hop, pop"
Mustard,Pure Water (with Migos),2019,75,"hip hop, pop"
Nicki Minaj,Starships,2012,75,"hip hop, pop"
Rae Sremmurd,Swang,2016,75,"hip hop, pop"
Rae Sremmurd,Black Beatles,2016,75,"hip hop, pop"
T.I.,Live Your Life,2008,75,"hip hop, pop"
T.I.,Live Your Life,2008,75,"hip hop, pop"
Wiz Khalifa,Black and Yellow,2011,75,"hip hop, pop"
50 Cent,P.I.M.P.,2003,76,"hip hop, pop"
50 Cent,Just A Lil Bit,2005,76,"hip hop, pop"
Black Eyed Peas,Just Can’t Get Enough,2010,76,"hip hop, pop"
Flo Rida,Club Can't Handle Me (feat. David Guetta),2010,76,"hip hop, pop"
Flo Rida,Good Feeling,2012,76,"hip hop, pop"
Flo Rida,My House,2015,76,"hip hop, pop"
Flo Rida,My House,2015,76,"hip hop, pop"
Lil Nas X,Old Town Road,2019,76,"hip hop, pop"
Nico & Vinz,Am I Wrong,2014,76,"hip hop, pop"
Shaggy,It Wasn't Me,2000,76,"hip hop, pop"
Soulja Boy,Kiss Me Thru The Phone,2008,76,"hip hop, pop"
Waka Flocka Flame,No Hands (feat. Roscoe Dash & Wale),2010,76,"hip hop, pop"
Flo Rida,Whistle,2012,77,"hip hop, pop"
Flo Rida,Wild Ones (feat. Sia),2012,77,"hip hop, pop"
Garrett Nash,"i hate u, i love u (feat. olivia o'brien)",2016,77,"hip hop, pop"
G-Eazy,"Me, Myself & I",2015,77,"hip hop, pop"
Jessie J,Bang Bang,2014,77,"hip hop, pop"
Snoop Dogg,"Young, Wild & Free (feat. Bruno Mars)",2011,77,"hip hop, pop"
The Game,Hate It Or Love It,2005,77,"hip hop, pop"
Meek Mill,Going Bad (feat. Drake),2018,78,"hip hop, pop"
Sean Paul,Temperature,2005,78,"hip hop, pop"
will.i.am,Scream & Shout,2013,78,"hip hop, pop"
50 Cent,Candy Shop,2005,79,"hip hop, pop"
Cardi B,I Like It,2018,79,"hip hop, pop"
Future,Mask Off,2017,79,"hip hop, pop"
Lil Nas X,Old Town Road - Remix,2019,79,"hip hop, pop"
NF,Let You Down,2017,79,"hip hop, pop"
Pharrell Williams,"Happy - From ""Despicable Me 2""",2014,79,"hip hop, pop"
Black Eyed Peas,I Gotta Feeling,2009,80,"hip hop, pop"
Flo Rida,Low (feat. T-Pain),2008,80,"hip hop, pop"
Offset,Ric Flair Drip (with Metro Boomin),2017,80,"hip hop, pop"
Outkast,Hey Ya!,2003,80,"hip hop, pop"
Taio Cruz,Dynamite,2010,80,"hip hop, pop"
50 Cent,In Da Club,2003,81,"hip hop, pop"
Gym Class Heroes,Stereo Hearts (feat. Adam Levine),2011,81,"hip hop, pop"
Macklemore & Ryan Lewis,Can't Hold Us (feat. Ray Dalton),2012,81,"hip hop, pop"
Wiz Khalifa,See You Again (feat. Charlie Puth),2015,81,"hip hop, pop"
French Montana,Unforgettable,2017,82,"hip hop, pop"
MKTO,Classic,2012,82,"hip hop, pop"
Outkast,Ms. Jackson,2000,82,"hip hop, pop"
Sean Paul,No Lie,2018,84,"hip hop, pop"
Paulo Londra,Adan y Eva,2019,72,"hip hop, latin, Dance/Electronic"
Travis Scott,BUTTERFLY EFFECT,2017,0,"hip hop, Dance/Electronic"
Mr. Probz,Waves - Robin Schulz Radio Edit,2014,2,"hip hop, Dance/Electronic"
Chip,Champion (feat. Chris Brown),2011,48,"hip hop, Dance/Electronic"
The Streets,Fit but You Know It,2004,58,"hip hop, Dance/Electronic"
Wiley,Wearing My Rolex - Radio Edit,2008,59,"hip hop, Dance/Electronic"
B Young,Jumanji,2018,60,"hip hop, Dance/Electronic"
Stormzy,Vossi Bop,2019,64,"hip hop, Dance/Electronic"
Wiley,Boasty (feat. Idris Elba),2019,64,"hip hop, Dance/Electronic"
AJ Tracey,Ladbroke Grove,2019,69,"hip hop, Dance/Electronic"
Daft Punk,Lose Yourself to Dance (feat. Pharrell Williams),2013,69,"hip hop, Dance/Electronic"
Travis Scott,Antidote,2015,73,"hip hop, Dance/Electronic"
Daft Punk,One More Time,2001,76,"hip hop, Dance/Electronic"
Travis Scott,SICKO MODE,2018,81,"hip hop, Dance/Electronic"
Travis Scott,SICKO MODE,2018,81,"hip hop, Dance/Electronic"
Daft Punk,Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,2013,83,"hip hop, Dance/Electronic"
Travis Scott,goosebumps,2016,83,"hip hop, Dance/Electronic"
Blanco Brown,The Git Up,2019,69,"hip hop, country"
A Boogie Wit da Hoodie,Drowning (feat. Kodak Black),2017,0,hip hop
Childish Gambino,3005,2013,0,hip hop
J. Cole,Power Trip (feat. Miguel),2013,0,hip hop
Kanye West,Black Skinhead,2013,0,hip hop
Kendrick Lamar,HUMBLE.,2017,0,hip hop
Kendrick Lamar,DNA.,2017,0,hip hop
NLE Choppa,Shotta Flow (feat. Blueface) [Remix],2019,0,hip hop
Silentó,Watch Me (Whip / Nae Nae),2015,0,hip hop
Blueface,Thotiana,2018,1,hip hop
Guru Josh Project,Infinity 2008,2011,1,hip hop
Post Malone,Goodbyes (Feat. Young Thug),2019,1,hip hop
6ix9ine,FEFE,2018,42,hip hop
Kanye West,Good Life,2007,45,hip hop
Kanye West,Can't Tell Me Nothing,2007,47,hip hop
Kanye West,Homecoming,2007,47,hip hop
Eminem,Like Toy Soldiers,2004,48,hip hop
Fatman Scoop,Be Faithful,2009,49,hip hop
Kodak Black,Tunnel Vision,2017,51,hip hop
Eminem,Ass Like That,2004,52,hip hop
Kanye West,Flashing Lights,2007,52,hip hop
JAY-Z,Dirt Off Your Shoulder,2003,53,hip hop
Juice WRLD,Robbery,2019,53,hip hop
Kanye West,Stronger,2007,54,hip hop
M.O.P.,Cold as Ice,2000,54,hip hop
JAY-Z,Excuse Me Miss,2002,56,hip hop
2Pac,Until The End Of Time,2001,57,hip hop
N.E.R.D,She Wants To Move,2004,57,hip hop
Nas,I Can,2002,58,hip hop
JAY-Z,I Just Wanna Love U (Give It 2 Me),2000,59,hip hop
Rizzle Kicks,Down With The Trumpets,2011,59,hip hop
Kanye West,Diamonds From Sierra Leone - Remix,2005,61,hip hop
Mac Miller,Donald Trump,2011,61,hip hop
Young T & Bugsey,Strike a Pose (feat. Aitch),2019,61,hip hop
JAY-Z,Holy Grail,2013,62,hip hop
6ix9ine,GUMMO,2018,63,hip hop
Eminem,We Made You,2009,63,hip hop
JAY-Z,Izzo (H.O.V.A.),2001,63,hip hop
Kendrick Lamar,Swimming Pools (Drank) - Extended Version,2012,63,hip hop
