artist,song,duration_ms,explicit,year,popularity,genre
Missy Elliott,Hot Boyz,215466,TRUE,1998,49,"hip hop, pop, R&B"
Enrique Iglesias,Be With You,219360,FALSE,1999,54,"pop, latin"
Melanie C,I Turn To You,352173,FALSE,1999,54,"pop, Dance/Electronic"
Savage Garden,Crash and Burn,281466,FALSE,1999,54,pop
Anastacia,Sick and Tired,212266,FALSE,1999,56,pop
Eiffel 65,Move Your Body - Gabry Ponte Original Radio Edit,268863,FALSE,1999,56,pop
Madison Avenue,Don't Call Me Baby,228140,FALSE,1999,56,Dance/Electronic
Marc Anthony,You Sang To Me,347106,FALSE,1999,56,"pop, latin"
Donell Jones,Where I Wanna Be,253626,FALSE,1999,57,"pop, R&B"
Britney Spears,Born to Make You Happy,243533,FALSE,1999,58,pop
Mariah Carey,Thank God I Found You (feat. Joe & 98°),257360,FALSE,1999,59,"pop, R&B"
Montell Jordan,Get It On Tonite,276266,FALSE,1999,59,"hip hop, pop, R&B"
Sisqo,Incomplete,274226,TRUE,1999,60,"hip hop, pop, R&B"
Christina Aguilera,I Turn to You,273706,FALSE,1999,61,pop
Melanie C,Never Be The Same Again,294200,FALSE,1999,61,"pop, Dance/Electronic"
Sting,Desert Rose,285960,FALSE,1999,62,"rock, pop"
Donell Jones,"U Know What's Up (feat. Lisa ""Left Eye"" Lopes)",243733,TRUE,1999,63,"pop, R&B"
Anastacia,I'm Outta Love - Radio Edit,245400,FALSE,1999,64,pop
Céline Dion,That's the Way It Is,241373,FALSE,1999,64,pop
Christina Aguilera,Come on over Baby (All I Want Is You) - Radio Version,203333,FALSE,1999,64,pop
Creed,With Arms Wide Open,274800,FALSE,1999,64,"pop, rock, metal"
Gigi D'Agostino,The Riddle,285426,FALSE,1999,64,pop
Tom Jones,Sexbomb,211893,FALSE,1999,65,"rock, Folk/Acoustic, easy listening"
Faith Hill,Breathe,250546,FALSE,1999,66,"pop, country"
Santana,Maria Maria (feat. The Product G&B),261973,FALSE,1999,66,"rock, blues, latin"
Backstreet Boys,Show Me the Meaning of Being Lonely,234960,FALSE,1999,68,pop
Creed,Higher,316733,FALSE,1999,69,"pop, rock, metal"
JAY-Z,Big Pimpin',283066,TRUE,1999,69,hip hop
Sisqo,Thong Song,253733,TRUE,1999,69,"hip hop, pop, R&B"
Destiny's Child,"Jumpin', Jumpin'",230200,FALSE,1999,70,"pop, R&B"
Crazy Town,Butterfly,216733,FALSE,1999,71,"rock, metal"
DMX,Party Up,268866,TRUE,1999,71,"hip hop, pop"
Wheatus,Teenage Dirtbag,241666,TRUE,1999,71,set()
Dido,Thank You,218360,FALSE,1999,73,pop
Destiny's Child,Say My Name,271333,FALSE,1999,75,"pop, R&B"
Red Hot Chili Peppers,Otherside,255373,FALSE,1999,78,rock
blink-182,All The Small Things,167066,FALSE,1999,79,"rock, pop"
Dr. Dre,Forgot About Dre,222293,TRUE,1999,79,hip hop
